split,seed,fold,method,r2,rmse,time_s
scaffold,1,1,1-NN ECFP4,-0.4631751901304808,1.995232622165329,0.004102945327758789
scaffold,1,1,ECFP4-GBDT,0.49219223715062654,1.1754253266962202,0.5890560150146484
scaffold,1,1,ECFP6-GBDT,0.4064254535505384,1.270816938367472,0.5866179466247559
scaffold,1,1,MACCS-GBDT,0.288330092282842,1.3915046738475145,0.5045440196990967
scaffold,1,1,ECFP4-RF,0.3323905465017196,1.3477414958064935,0.39640021324157715
scaffold,1,1,ChemSMD+PCA+TabICL,0.38935782043420974,1.2889579499357517,1.7385728359222412
scaffold,1,1,ChemSMD+EnsRP+TabICL,0.4294886068910557,1.2458837445796997,8.663479089736938
scaffold,1,2,Predict-train-mean,,,5.0067901611328125e-06
scaffold,1,2,1-NN ECFP4,-0.37393278872050617,1.7799477083047457,0.00539398193359375
scaffold,1,2,ECFP4-GBDT,0.4179637508066044,1.1585093410248717,0.5991086959838867
scaffold,1,2,ECFP6-GBDT,0.34360087074815815,1.230292946502898,0.5870299339294434
scaffold,1,2,MACCS-GBDT,0.21874418528950557,1.3422121074583464,0.49704813957214355
scaffold,1,2,ECFP4-RF,0.3310252321699575,1.2420222862296968,0.4110550880432129
scaffold,1,2,ChemSMD+PCA+TabICL,0.3839519924767406,1.1918780283896946,1.7342190742492676
scaffold,1,2,ChemSMD+EnsRP+TabICL,0.4045135451064955,1.1718187954458004,8.677404880523682
scaffold,1,3,Predict-train-mean,,,3.0994415283203125e-06
scaffold,1,3,1-NN ECFP4,-0.3749503716743461,1.5731759604989044,0.004369020462036133
scaffold,1,3,ECFP4-GBDT,0.36283762844712397,1.0709244586650322,0.6075489521026611
scaffold,1,3,ECFP6-GBDT,0.31276887791824415,1.1122059229809156,0.5960659980773926
scaffold,1,3,MACCS-GBDT,0.2132820305862907,1.1899899929491389,0.5075149536132812
scaffold,1,3,ECFP4-RF,0.3118735090348821,1.112930173812758,0.3988780975341797
scaffold,1,3,ChemSMD+PCA+TabICL,0.323961251301608,1.1031119629519106,1.741098165512085
scaffold,1,3,ChemSMD+EnsRP+TabICL,0.36151744443434575,1.0720332993594965,8.697627305984497
scaffold,1,4,Predict-train-mean,,,5.9604644775390625e-06
scaffold,1,4,1-NN ECFP4,-0.5079234439873486,1.7882202031359462,0.0050160884857177734
scaffold,1,4,ECFP4-GBDT,0.5299471459361567,0.9984003027253732,0.6251449584960938
