benchmark,n_train,n_test,weight,pca_dim,model,overall_rmse,cliff_rmse,noncliff_rmse,time_s
CHEMBL219_Ki,1491,374,v6,160,TabPFN-MLX,0.6719477414519909,0.7231294062421675,0.6362033466404587,18.775590896606445
CHEMBL219_Ki,1491,374,v6,192,TabPFN-MLX,0.6698475343256075,0.7142557529568936,0.6390961570550789,21.486839771270752
CHEMBL228_Ki,1362,342,v3,64,TabPFN-MLX,0.6595567769070065,0.7418931477744563,0.6056850416184556,6.901341915130615
CHEMBL228_Ki,1362,342,v3,96,TabPFN-MLX,0.6371803482724449,0.7296717166214701,0.5756053919978354,10.583240032196045
CHEMBL228_Ki,1362,342,v3,128,TabPFN-MLX,0.6311469116638243,0.7181929627372516,0.5735557777182944,13.400568008422852
CHEMBL228_Ki,1362,342,v3,160,TabPFN-MLX,0.6286052670752439,0.7159891592941939,0.570736322605838,16.02326989173889
CHEMBL228_Ki,1362,342,v3,192,TabPFN-MLX,0.6194217657300787,0.7028724428754841,0.5643597957975259,19.338746070861816
CHEMBL228_Ki,1362,342,v4,64,TabPFN-MLX,0.649051788932275,0.7411108539947199,0.5879391114780664,6.8532023429870605
CHEMBL228_Ki,1362,342,v4,96,TabPFN-MLX,0.6244561213127114,0.7144751093314924,0.5645787716314093,9.980232000350952
CHEMBL228_Ki,1362,342,v4,128,TabPFN-MLX,0.6281237502583839,0.7245468976418826,0.5634674124412788,13.006477117538452
CHEMBL228_Ki,1362,342,v4,160,TabPFN-MLX,0.621936082955081,0.7262599274027388,0.5511111630878543,16.104578971862793
CHEMBL228_Ki,1362,342,v4,192,TabPFN-MLX,0.62714974715988,0.7142923031230578,0.5694437857238971,20.176528930664062
CHEMBL228_Ki,1362,342,v5,64,TabPFN-MLX,0.652423830884766,0.7482122333119984,0.5885627427730037,7.156290769577026
CHEMBL228_Ki,1362,342,v5,96,TabPFN-MLX,0.630487550930211,0.7167378331120694,0.5734774157276956,10.12177586555481
CHEMBL228_Ki,1362,342,v5,128,TabPFN-MLX,0.6318203247594075,0.7106766274519358,0.5802267635529864,13.016926288604736
CHEMBL228_Ki,1362,342,v5,160,TabPFN-MLX,0.6199434051909293,0.7016324838850488,0.5661793747704307,16.197570085525513
CHEMBL228_Ki,1362,342,v5,192,TabPFN-MLX,0.6151206986296878,0.6983868642454365,0.5601504050233183,18.69760012626648
CHEMBL228_Ki,1362,342,v6,64,TabPFN-MLX,0.6531729539122645,0.7500012318283138,0.588539348586477,6.861749887466431
CHEMBL228_Ki,1362,342,v6,96,TabPFN-MLX,0.6359284768179083,0.7195393333022434,0.580913237977716,9.78208589553833
CHEMBL228_Ki,1362,342,v6,128,TabPFN-MLX,0.6271817750009003,0.7032252770019992,0.5775783893094928,12.64599895477295
CHEMBL228_Ki,1362,342,v6,160,TabPFN-MLX,0.6262076155278344,0.7114377619690837,0.5699051748002997,15.565293073654175
CHEMBL228_Ki,1362,342,v6,192,TabPFN-MLX,0.6240471251861713,0.7021186196225939,0.5729541217235913,18.763074159622192
CHEMBL231_Ki,776,197,v3,64,TabPFN-MLX,0.6784292171540205,0.8441751609844343,0.6156031396537912,3.6379261016845703
CHEMBL231_Ki,776,197,v3,96,TabPFN-MLX,0.6595311111128317,0.8673928163806656,0.5768319696845456,5.0648839473724365
CHEMBL231_Ki,776,197,v3,128,TabPFN-MLX,0.6440870661818823,0.856830471170074,0.5585544278903024,6.474258899688721
CHEMBL231_Ki,776,197,v3,160,TabPFN-MLX,0.6607440385784096,0.8469797062632657,0.5883249851702568,7.7098469734191895
CHEMBL231_Ki,776,197,v3,192,TabPFN-MLX,0.6389990385672153,0.8523836638758114,0.5529919081659831,9.029086828231812
CHEMBL231_Ki,776,197,v4,64,TabPFN-MLX,0.6846945482567658,0.8581041476056214,0.6185632414206781,3.546226739883423
CHEMBL231_Ki,776,197,v4,96,TabPFN-MLX,0.6722987635068177,0.8700722491201319,0.5947415955997184,4.943653106689453
CHEMBL231_Ki,776,197,v4,128,TabPFN-MLX,0.6655110436260486,0.8672981878898811,0.5858876016350963,6.423273324966431
CHEMBL231_Ki,776,197,v4,160,TabPFN-MLX,0.6634162900160371,0.8737840036807428,0.5796084316650645,7.652935981750488
CHEMBL231_Ki,776,197,v4,192,TabPFN-MLX,0.6588178757836434,0.8778212228886872,0.5706390334426997,8.9723219871521
CHEMBL231_Ki,776,197,v5,64,TabPFN-MLX,0.6750623153249741,0.8681339563356775,0.5997716578460545,3.5727269649505615
CHEMBL231_Ki,776,197,v5,96,TabPFN-MLX,0.6608080157697246,0.8756594557044733,0.5747367442835414,4.9165098667144775
CHEMBL231_Ki,776,197,v5,128,TabPFN-MLX,0.6636281781015408,0.8685400784676911,0.5824612302934833,6.369751930236816
CHEMBL231_Ki,776,197,v5,160,TabPFN-MLX,0.6582162329390153,0.8625982698489978,0.5771623019184583,7.663412809371948
CHEMBL231_Ki,776,197,v5,192,TabPFN-MLX,0.6532022229770016,0.889153050536201,0.5562707843540717,8.901057004928589
CHEMBL231_Ki,776,197,v6,64,TabPFN-MLX,0.6656143456264515,0.872631955811816,0.5834864914874132,3.53180193901062
CHEMBL231_Ki,776,197,v6,96,TabPFN-MLX,0.6539633057198566,0.8591431391652247,0.5724109816578742,4.980984210968018
CHEMBL231_Ki,776,197,v6,128,TabPFN-MLX,0.6450013729199132,0.8571668171655962,0.5597818184617963,6.320634841918945
CHEMBL231_Ki,776,197,v6,160,TabPFN-MLX,0.6454680137657781,0.8740553866040017,0.5520262478759173,7.646389007568359
CHEMBL231_Ki,776,197,v6,192,TabPFN-MLX,0.6513480622602205,0.9001444978746388,0.5476343332821871,8.89046311378479
CHEMBL233_Ki,2512,630,v3,64,TabPFN-MLX,0.7561345351165512,0.8551183531644617,0.6785269947669637,15.829766273498535
CHEMBL233_Ki,2512,630,v3,96,TabPFN-MLX,0.7458873683031191,0.8381034740781542,0.6740734372513926,23.001332998275757
CHEMBL233_Ki,2512,630,v3,128,TabPFN-MLX,0.7401958042855592,0.8266513596419891,0.6732915760026609,29.50514817237854
CHEMBL233_Ki,2512,630,v3,160,TabPFN-MLX,0.7462366576415748,0.8315825349328806,0.6803389310455424,36.15719294548035
CHEMBL233_Ki,2512,630,v3,192,TabPFN-MLX,0.7460991025403143,0.8330675933244882,0.6788126478209957,43.00457000732422
CHEMBL233_Ki,2512,630,v4,64,TabPFN-MLX,0.7536289317765129,0.8471090422702394,0.6808031068751159,16.219526052474976
CHEMBL233_Ki,2512,630,v4,96,TabPFN-MLX,0.7495149792528837,0.8367626716490846,0.6820223813174014,22.93673825263977
CHEMBL233_Ki,2512,630,v4,128,TabPFN-MLX,0.7425362018789179,0.8266558300610366,0.6776497867795837,29.68156099319458
