benchmark,n_train,n_test,weight,pca_dim,model,overall_rmse,cliff_rmse,noncliff_rmse,time_s
CHEMBL2147_Ki,1162,294,v6,128,TabICL-MLX,0.5332534542714054,0.5906901570866719,0.4922289301071581,2.6490039825439453
CHEMBL2147_Ki,1162,294,v6,160,TabICL-MLX,0.5238240650767817,0.5849089177458002,0.47984906684615425,3.311285972595215
CHEMBL2147_Ki,1162,294,v6,192,TabICL-MLX,0.525262554683189,0.5871241188862982,0.48068257357818583,3.949061155319214
CHEMBL214_Ki,2651,666,v3,96,TabICL-MLX,0.6231238338570506,0.7328865713331291,0.5492418297900946,4.353138208389282
CHEMBL214_Ki,2651,666,v3,128,TabICL-MLX,0.6249420854438595,0.7509442584130125,0.5382038686467268,5.764724969863892
CHEMBL214_Ki,2651,666,v3,160,TabICL-MLX,0.6271341603191578,0.7390719019995455,0.5516339188284136,7.036019802093506
CHEMBL214_Ki,2651,666,v3,192,TabICL-MLX,0.6283423460517217,0.7405487439779616,0.5526553255849435,8.548686981201172
CHEMBL214_Ki,2651,666,v4,96,TabICL-MLX,0.6359182603254792,0.7442263656441196,0.5633843939916114,4.26090669631958
CHEMBL214_Ki,2651,666,v4,128,TabICL-MLX,0.6296136561938203,0.7550598173887172,0.5434407988366442,5.81675124168396
CHEMBL214_Ki,2651,666,v4,160,TabICL-MLX,0.6269647472409539,0.7414995719615192,0.5494288893081222,6.969372272491455
CHEMBL214_Ki,2651,666,v4,192,TabICL-MLX,0.6277700313181138,0.7454921034171483,0.5477368511796358,8.413859844207764
CHEMBL214_Ki,2651,666,v5,96,TabICL-MLX,0.6310791483146393,0.7417843577055527,0.5566099459576107,4.207598924636841
CHEMBL214_Ki,2651,666,v5,128,TabICL-MLX,0.6367509517834802,0.7457481902199965,0.5637010361919587,5.59094500541687
CHEMBL214_Ki,2651,666,v5,160,TabICL-MLX,0.6281773388820472,0.7429707058821645,0.5504625358739709,6.896399021148682
CHEMBL214_Ki,2651,666,v5,192,TabICL-MLX,0.6300496198398886,0.7475904461673203,0.5502075562284452,8.269239902496338
CHEMBL214_Ki,2651,666,v6,96,TabICL-MLX,0.6280632766838787,0.7378630084175375,0.5542417803986363,4.159852027893066
CHEMBL214_Ki,2651,666,v6,128,TabICL-MLX,0.6208116862557579,0.7330997432771253,0.5449171988994175,5.853465795516968
CHEMBL214_Ki,2651,666,v6,160,TabICL-MLX,0.6227358816193472,0.7381848469115571,0.5443951648783333,6.753407955169678
CHEMBL214_Ki,2651,666,v6,192,TabICL-MLX,0.6349998863475428,0.7517133850781587,0.5559116609689477,8.21109127998352
CHEMBL218_EC50,823,208,v3,96,TabICL-MLX,0.6640023372548689,0.7067101102271768,0.638117745234006,1.4009630680084229
CHEMBL218_EC50,823,208,v3,128,TabICL-MLX,0.6764604099415292,0.729324382800577,0.6440583083355548,1.838447093963623
CHEMBL218_EC50,823,208,v3,160,TabICL-MLX,0.6713994583308376,0.7077149094425895,0.6495702111234201,2.2708427906036377
CHEMBL218_EC50,823,208,v3,192,TabICL-MLX,0.6899583602517633,0.7189818298633033,0.6726800619733303,2.7340950965881348
CHEMBL218_EC50,823,208,v4,96,TabICL-MLX,0.6730963451339543,0.7105136907628911,0.6505775297658626,1.429328203201294
